"TimeBodyAccelerationMeanX" "TimeBodyAccelerationMeanY" "TimeBodyAccelerationMeanZ" "TimeBodyAccelerationStandardDeviationX" "TimeBodyAccelerationStandardDeviationY" "TimeBodyAccelerationStandardDeviationZ" "TimeGravityAccelerationMeanX" "TimeGravityAccelerationMeanY" "TimeGravityAccelerationMeanZ" "TimeGravityAccelerationStandardDeviationX" "TimeGravityAccelerationStandardDeviationY" "TimeGravityAccelerationStandardDeviationZ" "TimeBodyAccelerationJerkMeanX" "TimeBodyAccelerationJerkMeanY" "TimeBodyAccelerationJerkMeanZ" "TimeBodyAccelerationJerkStandardDeviationX" "TimeBodyAccelerationJerkStandardDeviationY" "TimeBodyAccelerationJerkStandardDeviationZ" "TimeBodyGyroMeanX" "TimeBodyGyroMeanY" "TimeBodyGyroMeanZ" "TimeBodyGyroStandardDeviationX" "TimeBodyGyroStandardDeviationY" "TimeBodyGyroStandardDeviationZ" "TimeBodyGyroJerkMeanX" "TimeBodyGyroJerkMeanY" "TimeBodyGyroJerkMeanZ" "TimeBodyGyroJerkStandardDeviationX" "TimeBodyGyroJerkStandardDeviationY" "TimeBodyGyroJerkStandardDeviationZ" "TimeBodyAccelerationMagMean" "TimeBodyAccelerationMagStandardDeviation" "TimeGravityAccelerationMagMean" "TimeGravityAccelerationMagStandardDeviation" "TimeBodyAccelerationJerkMagMean" "TimeBodyAccelerationJerkMagStandardDeviation" "TimeBodyGyroMagMean" "TimeBodyGyroMagStandardDeviation" "TimeBodyGyroJerkMagMean" "TimeBodyGyroJerkMagStandardDeviation" "Subject" "ActivityName"
0.25717778 -0.02328523 -0.014653762 -0.938404 -0.92009078 -0.66768331 0.93648925 -0.28271916 0.11528825 -0.92542727 -0.93701413 -0.56428842 0.072046007 0.045754401 -0.10604266 -0.90668276 -0.93801639 -0.93593583 0.11997616 -0.091792335 0.18962854 -0.88308911 -0.8161636 -0.94088123 -0.20489621 -0.17448771 -0.09338934 -0.90122415 -0.91086005 -0.93925042 -0.86692938 -0.70519112 -0.86692938 -0.70519112 -0.92976655 -0.89599425 -0.79554393 -0.76207322 -0.92519489 -0.89434361 2 "walking"
0.28602671 -0.013163359 -0.11908252 -0.97541469 -0.9674579 -0.94495817 0.92740359 -0.28921515 0.15256831 -0.98905711 -0.9838872 -0.96478113 0.070180689 -0.017876016 -0.0017206291 -0.94920395 -0.97269891 -0.9777267 -0.0015524629 -0.18729119 0.18070522 -0.92556647 -0.9295992 -0.96758097 -0.13866849 -0.025802071 -0.071418405 -0.96230415 -0.95628941 -0.98134077 -0.96896136 -0.95390243 -0.96896136 -0.95390243 -0.97371675 -0.94100781 -0.89843314 -0.91085833 -0.97339341 -0.94409 2 "walking"
0.27548482 -0.02605042 -0.11815167 -0.99381904 -0.96992551 -0.96274798 0.92991503 -0.28751284 0.14608559 -0.9959365 -0.98825055 -0.98157964 0.069367784 -0.0049081456 -0.013672983 -0.9910699 -0.97140413 -0.97286744 -0.048212671 -0.16627974 0.15417437 -0.97298823 -0.97851062 -0.97564834 -0.097809669 -0.034213274 -0.060028399 -0.98416694 -0.98793987 -0.97618761 -0.97622817 -0.97908345 -0.97622817 -0.97908345 -0.98161775 -0.97137104 -0.93919355 -0.97177627 -0.98674805 -0.98440146 2 "walking"
0.27029822 -0.032613869 -0.11752018 -0.99474279 -0.97326761 -0.96709068 0.92888137 -0.29339576 0.14292592 -0.99313918 -0.97041923 -0.99159167 0.074852891 0.032274322 0.012141275 -0.99080161 -0.97289567 -0.97592527 -0.056641577 -0.12601846 0.11833718 -0.96779046 -0.9751338 -0.9632327 -0.10223178 -0.044713461 -0.053436499 -0.98417089 -0.98955423 -0.98072396 -0.9743245 -0.97701589 -0.9743245 -0.97701589 -0.98271214 -0.97480746 -0.94718438 -0.97036824 -0.98882036 -0.9855681 2 "walking"
0.27483295 -0.027847788 -0.12952716 -0.99385248 -0.96744548 -0.97829499 0.92659966 -0.30296094 0.13830674 -0.99557462 -0.97096035 -0.96808532 0.078376795 0.022276764 0.0027484994 -0.99207239 -0.97867004 -0.98661202 -0.059992128 -0.08472343 0.078659262 -0.97465605 -0.97795105 -0.96762872 -0.091849944 -0.029005022 -0.061235354 -0.98847382 -0.99187728 -0.9819836 -0.97583556 -0.97689339 -0.97583556 -0.97689339 -0.98690794 -0.98885394 -0.95741922 -0.96949953 -0.99006205 -0.99041891 2 "walking"
0.27921995 -0.018620399 -0.11390197 -0.99445523 -0.97041688 -0.96531629 0.92566317 -0.30893973 0.1305608 -0.99884225 -0.99073872 -0.97123186 0.075980393 0.017519217 0.0082080614 -0.99383436 -0.97910289 -0.98760636 -0.039697949 -0.066828493 0.070547316 -0.97987841 -0.97646279 -0.96346168 -0.092739553 -0.032138215 -0.072575489 -0.98941668 -0.98949396 -0.97777944 -0.98171632 -0.97770393 -0.98171632 -0.97770393 -0.98733569 -0.99199699 -0.96974417 -0.97329472 -0.9878482 -0.98904283 2 "walking"
0.27974586 -0.018271026 -0.10399988 -0.99581919 -0.97635361 -0.97772468 0.92613663 -0.30956386 0.12856658 -0.9974362 -0.99656801 -0.98820362 0.074134632 -0.0003745209 -0.0073042715 -0.99422833 -0.98407463 -0.98777624 -0.03287449 -0.065186851 0.080700108 -0.98963172 -0.9838623 -0.97276516 -0.097085158 -0.045577053 -0.05067998 -0.99029738 -0.99241296 -0.98408092 -0.987652 -0.98527343 -0.987652 -0.98527343 -0.98932893 -0.99233376 -0.98233263 -0.98001093 -0.99111713 -0.99178348 2 "walking"
0.27460055 -0.02503513 -0.11683085 -0.99559442 -0.98206892 -0.98526237 0.92658621 -0.3107735 0.12958012 -0.99739076 -0.98755709 -0.98979864 0.076194451 -0.0037109707 0.005193806 -0.9947049 -0.98932695 -0.99154634 -0.028869854 -0.068346001 0.087116675 -0.99434551 -0.99243952 -0.98984746 -0.095570872 -0.045698485 -0.043546352 -0.99173311 -0.99664469 -0.99363268 -0.98693665 -0.99075599 -0.98693665 -0.99075599 -0.99314688 -0.99407416 -0.99274936 -0.99178744 -0.99557708 -0.99592397 2 "walking"
0.27252874 -0.020954013 -0.11447249 -0.99678413 -0.97590627 -0.98659699 0.92555526 -0.31573741 0.12642607 -0.99514632 -0.98097747 -0.98127764 0.079175213 0.025020978 0.0020811765 -0.99554308 -0.99025204 -0.99328658 -0.024364328 -0.066695221 0.077032498 -0.99678549 -0.99530106 -0.99298656 -0.097698066 -0.037798123 -0.06105549 -0.99447485 -0.99720446 -0.99728901 -0.98844633 -0.9916242 -0.98844633 -0.9916242 -0.99389244 -0.99733962 -0.99373292 -0.99531712 -0.99734041 -0.99752463 2 "walking"
0.2757457 -0.010371994 -0.09977589 -0.99837313 -0.98693291 -0.9910219 0.92417336 -0.3175966 0.1245839 -0.99800172 -0.98939331 -0.99196835 0.077145726 0.018711721 0.011466155 -0.99636877 -0.99148028 -0.99279344 -0.022462359 -0.068363863 0.076694399 -0.99639305 -0.99343897 -0.99089631 -0.10162951 -0.041681809 -0.049140975 -0.99556353 -0.99590663 -0.99443854 -0.99135299 -0.99320918 -0.99135299 -0.99320918 -0.99393494 -0.99870789 -0.99146645 -0.99580913 -0.99612756 -0.99741842 2 "walking"
0.27859589 -0.015231928 -0.098908415 -0.99878507 -0.98194306 -0.99137882 0.92371888 -0.31398567 0.12787786 -0.99896777 -0.98598299 -0.98116601 0.073410891 0.0048205158 0.0055513158 -0.99667303 -0.98624441 -0.99071275 -0.025346783 -0.074217186 0.087760115 -0.99446328 -0.99282756 -0.99050543 -0.09760717 -0.043922229 -0.049796101 -0.99430186 -0.99498126 -0.99363215 -0.99200078 -0.99367767 -0.99200078 -0.99367767 -0.99248401 -0.99338931 -0.99262929 -0.99443845 -0.99501892 -0.99693534 2 "walking"
0.27915178 -0.021879444 -0.10973077 -0.99778103 -0.99295121 -0.98568028 0.92403746 -0.31295562 0.1314731 -0.99837133 -0.99227971 -0.99206883 0.073495012 0.01105182 -0.01853629 -0.99404984 -0.98465144 -0.98674551 -0.029174831 -0.079426371 0.092674028 -0.99579842 -0.99382668 -0.99431145 -0.095793768 -0.038043778 -0.056942414 -0.99350021 -0.99529245 -0.99551391 -0.99317478 -0.99518342 -0.99317478 -0.99518342 -0.98917652 -0.99115044 -0.99425402 -0.9951991 -0.9954186 -0.99696993 2 "walking"
0.27454383 -0.023145294 -0.1125396 -0.99620456 -0.9915728 -0.98751828 0.92445923 -0.31568266 0.13103466 -0.9992491 -0.99095888 -0.98946132 0.076245658 0.0061658182 -0.0034026214 -0.99195764 -0.9882498 -0.98820739 -0.02794305 -0.07935183 0.096964901 -0.99489468 -0.9947356 -0.9963317 -0.097721303 -0.039609772 -0.051964221 -0.9930048 -0.99560214 -0.99580877 -0.99209849 -0.99412726 -0.99209849 -0.99412726 -0.9894526 -0.99451471 -0.99394477 -0.99576249 -0.99543688 -0.99728357 2 "walking"
0.26906631 -0.027685967 -0.11017794 -0.9968836 -0.9864395 -0.9884791 0.92317418 -0.31981835 0.12898325 -0.99281837 -0.98326068 -0.99353816 0.079173934 0.018495729 0.018553835 -0.99361731 -0.98564396 -0.99061427 -0.026941731 -0.068240615 0.089771735 -0.99388537 -0.98820559 -0.98344383 -0.10142743 -0.038160122 -0.058543152 -0.99293553 -0.99434929 -0.99290875 -0.98880473 -0.98770276 -0.98880473 -0.98770276 -0.99092702 -0.99385728 -0.98944095 -0.98687805 -0.99441044 -0.99553145 2 "walking"
0.27557925 -0.018936424 -0.097409776 -0.99606469 -0.96822549 -0.98069598 0.92036099 -0.32552855 0.12910023 -0.99243056 -0.98164027 -0.99003989 0.075745215 0.031020344 0.015751456 -0.99417651 -0.98532987 -0.991535 -0.026364477 -0.064583159 0.073449259 -0.99254536 -0.98826303 -0.98518426 -0.10010014 -0.039292409 -0.060488259 -0.99249168 -0.99386369 -0.99377681 -0.98345554 -0.98813206 -0.98345554 -0.98813206 -0.99209801 -0.99224337 -0.98770443 -0.98767351 -0.99443167 -0.99463809 2 "walking"
0.28193083 -0.004880615 -0.086106145 -0.98907559 -0.95900626 -0.97302388 0.91979943 -0.32576314 0.13401665 -0.99519236 -0.98160614 -0.96913566 0.065217218 -0.010943663 -0.025885472 -0.97944868 -0.96940183 -0.98769745 -0.076452794 -0.015582021 0.025521434 -0.84566376 -0.91612436 -0.91722556 -0.19787079 -0.025032953 -0.059846977 -0.96508293 -0.98444407 -0.97313161 -0.97177018 -0.96608028 -0.97177018 -0.96608028 -0.98444335 -0.97153546 -0.92345144 -0.72226181 -0.98575128 -0.96661468 2 "walking"
0.31107792 -0.019430625 -0.10186634 -0.9366878 -0.84018585 -0.81682639 0.87581327 -0.42668132 0.038234377 -0.86986537 -0.8714715 -0.82092428 0.037478233 -0.066680016 -0.10814524 -0.97516521 -0.95570343 -0.98472427 0.00099342639 -0.11268679 -0.0037551694 -0.97841972 -0.97751116 -0.9574625 -0.087205988 -0.042719445 -0.04751798 -0.98427753 -0.98620017 -0.9739398 -0.89114826 -0.84259528 -0.89114826 -0.84259528 -0.97436577 -0.96989694 -0.94244588 -0.96165032 -0.98494221 -0.98392743 2 "walking"
0.26232825 -0.023257054 -0.12552494 -0.98456111 -0.91337982 -0.91267279 0.88997692 -0.42265611 0.044050888 -0.97024526 -0.9456811 -0.91993724 0.084069165 0.064999597 0.048234989 -0.98880708 -0.97822827 -0.9883445 -0.0061088604 -0.08363601 0.034434823 -0.98668458 -0.98896619 -0.97230704 -0.10448123 -0.035397886 -0.039153959 -0.99211655 -0.99280176 -0.99043873 -0.94390252 -0.93970043 -0.94390252 -0.93970043 -0.9860497 -0.98926886 -0.96709063 -0.97232791 -0.99263654 -0.99471661 2 "walking"
0.28841575 -0.003485395 -0.083827858 -0.99457065 -0.97835984 -0.97994262 0.88529186 -0.42609871 0.038517398 -0.98971312 -0.97043824 -0.95956976 0.079803783 0.014624073 -0.0045173884 -0.99168826 -0.98327871 -0.99208358 -0.019768993 -0.079931119 0.077789083 -0.9883864 -0.99057798 -0.98068603 -0.10348036 -0.041431124 -0.046259069 -0.99359924 -0.99292775 -0.98920053 -0.97506523 -0.97474348 -0.97506523 -0.97474348 -0.99096838 -0.9911234 -0.98433291 -0.98766424 -0.99275342 -0.99496513 2 "walking"
0.27116593 -0.025972908 -0.094923481 -0.97012403 -0.90187818 -0.9652996 0.88868488 -0.41889767 0.046875908 -0.98890631 -0.98323615 -0.97134623 0.058055977 -0.024006991 -0.031103821 -0.95251521 -0.93148972 -0.97959714 -0.026489988 -0.086821561 0.12018605 -0.95170794 -0.96834668 -0.94386544 -0.1109612 -0.057722741 -0.039061843 -0.94984523 -0.97602371 -0.95500434 -0.95883076 -0.92293487 -0.95883076 -0.92293487 -0.96404005 -0.93386755 -0.95847553 -0.92509765 -0.97088597 -0.95995921 2 "walking"
0.25309467 -0.044192268 -0.13929762 -0.96892213 -0.9103836 -0.91886033 0.88639445 -0.42463213 0.049435445 -0.97642372 -0.94935411 -0.98430715 0.069933008 -0.0029778293 -0.0087410564 -0.94378163 -0.92890125 -0.96683346 -0.025536965 -0.11232642 0.12869787 -0.94013604 -0.9574808 -0.93900763 -0.10432095 -0.027930448 -0.069738881 -0.94481275 -0.96642179 -0.93835316 -0.9254881 -0.93678778 -0.9254881 -0.93678778 -0.95100947 -0.93406878 -0.9350631 -0.93730316 -0.95872291 -0.95653005 2 "walking"
0.27133883 -0.029954058 -0.11859533 -0.96093148 -0.90503507 -0.87126958 0.8782922 -0.44115702 0.039357117 -0.97823679 -0.94589569 -0.93292764 0.10063345 0.061156235 0.028254346 -0.9110978 -0.90753609 -0.93324296 -0.031374775 -0.053952104 0.073211718 -0.95113006 -0.91043949 -0.91614341 -0.097805754 -0.018566344 -0.081625418 -0.93067604 -0.90816606 -0.90775388 -0.91671002 -0.93474524 -0.91671002 -0.93474524 -0.93070744 -0.87954362 -0.92330487 -0.90547784 -0.93362003 -0.88418956 2 "walking"
